Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
51,58.36858170247393,-155.38282630967882,53679,"VR-OVL Three Forks Valley of 10,000 Smokes Overlook Building",http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/53679.jpg,"$909,330","1,044 Sq Ft",OPERATING,Administrative,1997,NPS,"VR-OVL Three Forks Valley of 10,000 Smokes Overlook Building",
52,58.55699667100697,-155.7789176703559,38409,BR-42 Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38409.jpg,"$121,047",308 Sq Ft,OPERATING,Housing-Single Family,1965,NPS,BR-42 Brooks Camp Quarters,
53,58.556990842013874,-155.7791516623264,38408,BR-41 Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38408.jpg,"$121,047",308 Sq Ft,OPERATING,Housing-Single Family,1972,NPS,BR-41 Brooks Camp Quarters,
54,58.55717271809897,-155.7791664485677,38411,BR-46 Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38411.jpg,"$155,632",396 Sq Ft,OPERATING,Housing-Single Family,1972,NPS,BR-46 Brooks Camp Quarters,
55,58.557170904947895,-155.77891665798612,38410,BR-43  Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38410.jpg,"$102,055",308 Sq Ft,OPERATING,Housing-Single Family,1972,NPS,BR-43 Brooks Camp Quarters,
56,58.55729883246528,-155.77889316189237,38413,BR-48 Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38413.jpg,"$176,305",396 Sq Ft,OPERATING,Housing-Single Family,1980,NPS,BR-48 Brooks Camp Quarters,
57,58.55736081054687,-155.77915486219618,38414,BR-49 Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38414.jpg,"$122,226",311 Sq Ft,OPERATING,Housing-Single Family,1980,NPS,BR-49 Brooks Camp Quarters,
58,58.557444373914905,-155.77889100260415,38417,BR-T2 Brooks Camp Quarters (Hard sided wall tent),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38417.jpg,"$131,659",335 Sq Ft,OPERATING,Housing-Single Family,1982,NPS,BR-T2 Brooks Camp Quarters (Hard sided wall tent),
59,58.55760052083332,-155.77884071831596,38416,BR-T1 Brooks Camp Quarters (Hard Sided Wall Tent ),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38416.jpg,"$131,659",335 Sq Ft,OPERATING,Housing-Single Family,1982,NPS,BR-T1 Brooks Camp Quarters (Hard Sided Wall Tent ),
60,58.55753811197917,-155.77927414496529,38415,BR-50 Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38415.jpg,"$122,226",311 Sq Ft,OPERATING,Housing-Single Family,1980,NPS,BR-50 Brooks Camp Quarters,
61,58.55700368164065,-155.77868631510415,54410,BR-51 Brooks Camp DORM (Yurt Wall Tent) Transcient Housing,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/54410.jpg,"$326,516",804 Sq Ft,OPERATING,Housing-Multi-Unit,1996,NPS,BR-51 Brooks Camp Transcient Housing Yurt Tent,
62,58.55723373155382,-155.78001441514758,88541,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #5,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88541.jpg,"$53,425",139 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #5,
63,58.55731986436632,-155.78019611979167,88543,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #7,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88543.jpg,"$47,161",139 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #7,
64,58.54723566189239,-155.79434685872397,99544,LB-Weatherport,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/99544.jpg,"$23,475",165 Sq Ft,OPERATING,Storage,1990,NPS,LB-Weatherport,
